cluster_id,gA,sA,wA,N,g_mean,g_min,s_mean,d_eve,mu,chi,beta_A,rate_opt,nfeas_opt
0,1.76652,0.117132,27.6105,3,1.69847,1.68357,0.118037,22.8195,0.95,1,1.6125,1.09266e+07,3
1,1.72516,0.117676,27.7506,2,1.71703,1.67751,0.117792,32.8725,0.95,0.5,1.6125,8.71311e+06,2
2,1.73433,0.117554,27.7192,3,1.6812,1.64561,0.118276,36.5931,0.95,1,1.6125,1.17569e+07,3
3,1.78317,0.116917,27.5552,2,1.74358,1.7426,0.117432,22.5664,0.95,0.5,1.6125,8.13375e+06,2
4,1.74005,0.117479,27.6997,4,1.72019,1.71208,0.117744,41.9442,0.95,1,1.6125,1.47457e+07,4
5,1.79418,0.116776,27.519,3,1.77885,1.76116,0.116973,36.4298,0.95,1,1.6125,1.20814e+07,3
6,1.71714,0.117784,27.7782,3,1.68279,1.66453,0.118251,33.4306,0.95,1,1.6125,1.16917e+07,3
7,1.71201,0.117853,27.7959,3,1.67321,1.64266,0.118389,26.5432,0.95,1,1.6125,1.1342e+07,3
8,1.79143,0.116811,27.528,4,1.77814,1.75586,0.116982,23.1714,0.95,1,1.6125,1.39014e+07,4
9,1.79915,0.116713,27.5027,4,1.79052,1.78179,0.116823,30.091,0.95,1,1.6125,1.49036e+07,4
10,1.79582,0.116755,27.5136,4,1.76307,1.74859,0.117178,29.3022,0.95,1,1.6125,1.47872e+07,4
11,1.76507,0.117151,27.6153,4,1.71913,1.69912,0.117759,30.5046,0.95,1,1.6125,1.46708e+07,4
12,1.77054,0.11708,27.5971,3,1.72031,1.70635,0.117742,37.7157,0.95,1,1.6125,1.19188e+07,3
13,1.79015,0.116827,27.5322,3,1.7739,1.75788,0.117038,36.5803,0.95,1,1.6125,1.20633e+07,3
14,1.68038,0.118283,27.9067,4,1.65154,1.61443,0.11869,24.9753,0.95,1,1.6125,1.37645e+07,4
15,1.73897,0.117493,27.7034,4,1.69891,1.64839,0.118035,40.4706,0.95,1,1.6125,1.46942e+07,4
16,1.73282,0.117574,27.7243,2,1.71958,1.68389,0.117757,22.5673,0.95,0.5,1.6125,8.03467e+06,2
17,1.77713,0.116995,27.5752,3,1.74836,1.71324,0.117372,40.5821,0.95,1,1.6125,1.19948e+07,3
18,1.77998,0.116958,27.5658,4,1.76161,1.72175,0.117198,33.2446,0.95,1,1.6125,1.48933e+07,4
19,1.7851,0.116892,27.5489,4,1.76832,1.74881,0.117109,33.7225,0.95,1,1.6125,1.49317e+07,4
20,1.73301,0.117572,27.7237,4,1.69191,1.6558,0.118129,41.1816,0.95,1,1.6125,1.46631e+07,4
21,1.78575,0.116884,27.5467,3,1.74209,1.73087,0.117453,40.1992,0.95,1,1.6125,1.20016e+07,3
22,1.79754,0.116733,27.508,2,1.79041,1.78351,0.116824,23.5726,0.95,0.5,1.6125,8.38214e+06,2
23,1.69231,0.11812,27.8646,3,1.6978,1.68264,0.118046,24.5363,0.95,1,1.6125,1.11014e+07,3
24,1.77386,0.117037,27.5861,3,1.73093,1.71307,0.117602,37.5138,0.95,1,1.6125,1.19464e+07,3
25,1.75317,0.117306,27.6553,4,1.73837,1.70958,0.117504,28.8859,0.95,1,1.6125,1.45865e+07,4
26,1.74082,0.117468,27.6971,3,1.72755,1.68387,0.117649,40.5143,0.95,1,1.6125,1.18721e+07,3
27,1.7588,0.117232,27.6363,4,1.71003,1.67759,0.117881,36.2924,0.95,1,1.6125,1.47582e+07,4
28,1.79616,0.116751,27.5125,4,1.77044,1.74709,0.117082,32.4687,0.95,1,1.6125,1.49409e+07,4
29,1.71001,0.11788,27.8029,3,1.68394,1.64525,0.118238,33.7974,0.95,1,1.6125,1.16833e+07,3
30,1.77106,0.117073,27.5954,4,1.73885,1.71256,0.117496,41.2485,0.95,1,1.6125,1.48734e+07,4
