t,zenith,mu_s,beta_s,chi_s,key_s,sec_s,mu_a,betaA_a,chi_a,key_a,sec_a
850,55.2249,0.4,0.5,0,0,0,0.95,1.875,0,0,0
900,55.6199,0.4,0.5,0,0,0,0.95,2.225,0,0,0
950,53.3973,0.4,0.5,0,0,0,0.95,1.7,0,0,0
1000,47.4082,0.4,0.5,0,0,0,0.95,0.825,0,0,0
1050,51.8559,0.4,0.5,0,0,0,0.95,1.35,0,0,0
1100,43.0872,0.4,0.5,0,0,0,0.95,0.65,0,0,0
1150,39.0746,0.4,0.5,0,0,0,0.95,0.3,0,0,0
1200,46.7632,0.4,0.5,0,0,0,0.95,0.825,0,0,0
1250,29.0342,0.4,0.5,0,0,0,0.95,0.3,0,0,0
1300,33.7838,0.4,0.5,0,0,0,0.95,0.3,0,0,0
1350,34.6772,0.4,0.5,0,0,0,0.95,0.3,0,0,0
1400,12.5964,0.4,0.5,0,0,0,0.95,1.7,1,2.95791e+06,2
1450,36.146,0.4,0.5,0,0,0,0.95,0.3,0,0,0
1500,21.5673,0.4,0.5,0,0,0,0.95,0.3,0,0,0
1550,15.6095,0.4,0.5,0,0,0,0.95,1.7,1,1.09819e+06,1
1600,41.5905,0.4,0.5,0,0,0,0.95,0.475,0,0,0
1650,19.9634,0.4,0.5,0,0,0,0.95,0.3,0,0,0
1700,32.5412,0.4,0.5,0,0,0,0.95,0.3,0,0,0
1750,40,0.4,0.5,0,0,0,0.95,0.3,0,0,0
1800,32.7331,0.4,0.5,0,0,0,0.95,0.3,0,0,0
1850,46.2965,0.4,0.5,0,0,0,0.95,0.825,0,0,0
1900,44.356,0.4,0.5,0,0,0,0.95,0.65,0,0,0
1950,45.7103,0.4,0.5,0,0,0,0.95,0.825,0,0,0
2000,55.7946,0.4,0.5,0,0,0,0.95,2.225,0,0,0
2050,51.5969,0.4,0.5,0,0,0,0.95,1.35,0,0,0
2100,55.7414,0.4,0.5,0,0,0,0.95,2.225,0,0,0
2150,59.3422,0.4,0.5,0,0,0,0.95,2.75,0,0,0
2200,58.7847,0.4,0.5,0,0,0,0.95,2.75,0,0,0
