t,zenith,mu_s,beta_s,chi_s,key_s,sec_s,mu_a,betaA_a,chi_a,key_a,sec_a
100,56.1165,0.4,0.5,0,0,0,0.95,2.4,0,0,0
150,42.2537,0.4,0.5,0,0,0,0.95,0.475,0,0,0
200,36.5341,0.4,0.5,0,0,0,0.95,0.3,0,0,0
250,48.369,0.4,0.5,0,0,0,0.95,1,0,0,0
300,52.6113,0.4,0.5,0,0,0,0.95,1.525,0,0,0
650,57.6296,0.4,0.5,0,0,0,0.95,2.4,0,0,0
700,59.2634,0.4,0.5,0,0,0,0.95,2.75,0,0,0
750,51.9968,0.4,0.5,0,0,0,0.95,1.525,0,0,0
800,50.1176,0.4,0.5,0,0,0,0.95,1.175,0,0,0
850,56.92,0.4,0.5,0,0,0,0.95,2.4,0,0,0
1150,58.2108,0.4,0.5,0,0,0,0.95,2.4,0,0,0
1200,53.6567,0.4,0.5,0,0,0,0.95,1.7,0,0,0
1250,47.1739,0.4,0.5,0,0,0,0.95,0.825,0,0,0
1300,51.3509,0.4,0.5,0,0,0,0.95,1.35,0,0,0
1400,59.7266,0.4,0.5,0,0,0,0.95,2.575,0,0,0
1700,58.0502,0.4,0.5,0,0,0,0.95,2.575,0,0,0
1750,49.3785,0.4,0.5,0,0,0,0.95,1.175,0,0,0
1800,43.8174,0.4,0.5,0,0,0,0.95,0.65,0,0,0
1850,32.3963,0.4,0.5,0,0,0,0.95,0.3,0,0,0
1900,42.7556,0.4,0.5,0,0,0,0.95,0.475,0,0,0
1950,57.5864,0.4,0.5,0,0,0,0.95,2.4,0,0,0
2300,51.8392,0.4,0.5,0,0,0,0.95,1.35,0,0,0
2350,37.2903,0.4,0.5,0,0,0,0.95,0.3,0,0,0
2400,34.1871,0.4,0.5,0,0,0,0.95,0.3,0,0,0
2450,12.7311,0.4,0.5,0,0,0,0.95,1.7,1,2.95254e+06,2
2500,36.8052,0.4,0.5,0,0,0,0.95,0.3,0,0,0
2550,56.1059,0.4,0.5,0,0,0,0.95,2.4,0,0,0
2900,46.2017,0.4,0.5,0,0,0,0.95,0.825,0,0,0
2950,22.3161,0.4,0.5,0,0,0,0.95,0.3,0,0,0
