t,zenith,mu_s,beta_s,chi_s,key_s,sec_s,mu_a,betaA_a,chi_a,key_a,sec_a
0,59.2957,0.95,1.5,1,0,0,0.95,2.75,0,0,0
50,43.7764,0.95,1.5,1,0,0,0.95,0.65,0,0,0
100,26.483,0.95,1.5,1,0,0,0.95,0.3,0,0,0
150,22.6455,0.95,1.5,1,0,0,0.95,0.3,0,0,0
200,14.1858,0.95,1.5,1,0,0,0.95,1.7,1,2.89268e+06,2
250,43.354,0.95,1.5,1,0,0,0.95,0.65,0,0,0
300,52.6113,0.95,1.5,1,0,0,0.95,1.525,0,0,0
600,53.7792,0.95,1.5,1,0,0,0.95,1.7,0.75,0,0
650,37.7683,0.95,1.5,1,0,0,0.95,0.3,0,0,0
700,7.04196,0.95,1.5,1,5.49513e+06,1,0.95,1.525,0.75,1.18248e+07,3
750,27.5531,0.95,1.5,1,0,0,0.95,0.3,0,0,0
800,25.2848,0.95,1.5,1,0,0,0.95,0.3,0,0,0
850,46.8735,0.95,1.5,1,0,0,0.95,0.825,0,0,0
1150,53.8911,0.95,1.5,1,0,0,0.95,1.7,0,0,0
1200,43.1116,0.95,1.5,1,0,0,0.95,0.65,0,0,0
1250,36.708,0.95,1.5,1,0,0,0.95,0.3,0,0,0
1300,17.6704,0.95,1.5,1,0,0,0.95,1.7,1,1.06564e+06,1
1350,35.3635,0.95,1.5,1,0,0,0.95,0.3,0,0,0
1400,40.1922,0.95,1.5,1,0,0,0.95,0.3,0,0,0
1450,52.9875,0.95,1.5,1,0,0,0.95,1.525,0,0,0
1750,47.1838,0.95,1.5,1,0,0,0.95,0.825,0,0,0
1800,28.5334,0.95,1.5,1,0,0,0.95,0.3,0,0,0
1850,28.6727,0.95,1.5,1,0,0,0.95,0.3,0,0,0
1900,7.20107,0.95,1.5,1,5.49064e+06,1,0.95,1.525,0.75,1.18079e+07,3
1950,38.878,0.95,1.5,1,0,0,0.95,0.3,0,0,0
2000,51.586,0.95,1.5,1,0,0,0.95,1.35,0,0,0
2050,59.2246,0.95,1.5,1,0,0,0.95,2.75,0,0,0
2300,54.5704,0.95,1.5,1,0,0,0.95,1.875,0,0,0
2350,42.3106,0.95,1.5,1,0,0,0.95,0.475,0,0,0
2400,13.0643,0.95,1.5,1,0,0,0.95,1.7,1,2.93913e+06,2
2450,24.4101,0.95,1.5,1,0,0,0.95,0.3,0,0,0
2500,22.1795,0.95,1.5,1,0,0,0.95,0.3,0,0,0
2550,43.2006,0.95,1.5,1,0,0,0.95,0.65,0,0,0
2600,59.4222,0.95,1.5,1,0,0,0.95,2.75,0,0,0
2850,56.0638,0.95,1.5,1,0,0,0.95,2.4,0,0,0
2900,44.5773,0.95,1.5,1,0,0,0.95,0.65,0,0,0
2950,40.5989,0.95,1.5,1,0,0,0.95,0.475,0,0,0
3000,19.9365,0.95,1.5,1,0,0,0.95,0.3,0,0,0
3050,30.8386,0.95,1.5,1,0,0,0.95,0.3,0,0,0
3100,38.7956,0.95,1.5,1,0,0,0.95,0.3,0,0,0
3150,50.5168,0.95,1.5,1,0,0,0.95,1.175,0,0,0
3450,50.3809,0.95,1.5,1,0,0,0.95,1.175,0,0,0
3500,31.5534,0.95,1.5,1,0,0,0.95,0.3,0,0,0
3550,28.6063,0.95,1.5,1,0,0,0.95,0.3,0,0,0
3600,1.23142,0.95,1.5,1,1.10704e+07,2,0.95,1.525,0.75,1.45431e+07,3
3650,33.8838,0.95,1.5,1,0,0,0.95,0.3,0,0,0
3700,50.8589,0.95,1.5,1,0,0,0.95,1.35,0,0,0
3750,57.6399,0.95,1.5,1,0,0,0.95,2.4,0,0,0
4000,55.5901,0.95,1.5,1,0,0,0.95,2.05,0,0,0
4050,46.3871,0.95,1.5,1,0,0,0.95,0.825,0,0,0
4100,19.485,0.95,1.5,1,0,0,0.95,0.3,0,0,0
4150,18.089,0.95,1.5,1,0,0,0.95,1.7,1,1.05878e+06,1
4200,20.6807,0.95,1.5,1,0,0,0.95,0.3,0,0,0
4250,39.2617,0.95,1.5,1,0,0,0.95,0.3,0,0,0
4300,56.9268,0.95,1.5,1,0,0,0.95,2.4,0,0,0
4550,58.1751,0.95,1.5,1,0,0,0.95,2.575,0,0,0
4600,46.4164,0.95,1.5,1,0,0,0.95,0.825,0,0,0
4650,41.3138,0.95,1.5,1,0,0,0.95,0.475,0,0,0
4700,23.8074,0.95,1.5,1,0,0,0.95,0.3,0,0,0
4750,26.3601,0.95,1.5,1,0,0,0.95,0.3,0,0,0
4800,38.0915,0.95,1.5,1,0,0,0.95,0.3,0,0,0
4850,48.0244,0.95,1.5,1,0,0,0.95,1,0,0,0
5150,53.3471,0.95,1.5,1,0,0,0.95,1.7,0,0,0
5200,35.0981,0.95,1.5,1,0,0,0.95,0.3,0,0,0
5250,25.981,0.95,1.5,1,0,0,0.95,0.3,0,0,0
5300,7.46576,0.95,1.5,1,5.48295e+06,1,0.95,1.525,0.75,1.17793e+07,3
5350,28.3446,0.95,1.5,1,0,0,0.95,0.3,0,0,0
