cluster_id,g_i,s_i,w_i,gA,sA,mu,chi,beta_i,d_eve
0,1.69497,0.118084,27.8553,1.76652,0.117132,0.95,1,1.6125,22.8195
0,1.68357,0.118239,27.8954,1.76652,0.117132,0.95,1,1.6125,22.8195
0,1.71688,0.117787,27.7791,1.76652,0.117132,0.95,1,1.6125,22.8195
1,1.67751,0.118323,27.9169,1.72516,0.117676,0.95,0.5,1.6125,32.8725
1,1.75655,0.117262,27.6439,1.72516,0.117676,0.95,0.5,1.6125,32.8725
2,1.64561,0.118768,28.0314,1.73433,0.117554,0.95,1,1.6125,36.5931
2,1.68574,0.11821,27.8878,1.73433,0.117554,0.95,1,1.6125,36.5931
2,1.71223,0.11785,27.7951,1.73433,0.117554,0.95,1,1.6125,36.5931
3,1.7426,0.117445,27.691,1.78317,0.116917,0.95,0.5,1.6125,22.5664
3,1.74456,0.117419,27.6844,1.78317,0.116917,0.95,0.5,1.6125,22.5664
4,1.71238,0.117848,27.7946,1.74005,0.117479,0.95,1,1.6125,41.9442
4,1.71595,0.1178,27.7823,1.74005,0.117479,0.95,1,1.6125,41.9442
4,1.71208,0.117852,27.7957,1.74005,0.117479,0.95,1,1.6125,41.9442
4,1.74034,0.117475,27.6987,1.74005,0.117479,0.95,1,1.6125,41.9442
5,1.79113,0.116815,27.529,1.79418,0.116776,0.95,1,1.6125,36.4298
5,1.78426,0.116903,27.5516,1.79418,0.116776,0.95,1,1.6125,36.4298
5,1.76116,0.117202,27.6285,1.79418,0.116776,0.95,1,1.6125,36.4298
6,1.66453,0.118503,27.9632,1.71714,0.117784,0.95,1,1.6125,33.4306
6,1.69497,0.118084,27.8553,1.71714,0.117784,0.95,1,1.6125,33.4306
6,1.68889,0.118167,27.8767,1.71714,0.117784,0.95,1,1.6125,33.4306
7,1.72825,0.117635,27.7399,1.71201,0.117853,0.95,1,1.6125,26.5432
7,1.64266,0.118809,28.0422,1.71201,0.117853,0.95,1,1.6125,26.5432
7,1.64872,0.118724,28.0202,1.71201,0.117853,0.95,1,1.6125,26.5432
8,1.7909,0.116818,27.5298,1.79143,0.116811,0.95,1,1.6125,23.1714
8,1.77785,0.116985,27.5728,1.79143,0.116811,0.95,1,1.6125,23.1714
8,1.75586,0.117271,27.6462,1.79143,0.116811,0.95,1,1.6125,23.1714
8,1.78796,0.116855,27.5394,1.79143,0.116811,0.95,1,1.6125,23.1714
9,1.79903,0.116714,27.5031,1.79915,0.116713,0.95,1,1.6125,30.091
9,1.78593,0.116881,27.5461,1.79915,0.116713,0.95,1,1.6125,30.091
9,1.79533,0.116761,27.5152,1.79915,0.116713,0.95,1,1.6125,30.091
9,1.78179,0.116935,27.5598,1.79915,0.116713,0.95,1,1.6125,30.091
10,1.77135,0.117069,27.5944,1.79582,0.116755,0.95,1,1.6125,29.3022
10,1.75076,0.117338,27.6634,1.79582,0.116755,0.95,1,1.6125,29.3022
10,1.78158,0.116937,27.5605,1.79582,0.116755,0.95,1,1.6125,29.3022
10,1.74859,0.117366,27.6707,1.79582,0.116755,0.95,1,1.6125,29.3022
11,1.69912,0.118027,27.8408,1.76507,0.117151,0.95,1,1.6125,30.5046
11,1.70412,0.117959,27.8233,1.76507,0.117151,0.95,1,1.6125,30.5046
11,1.7497,0.117352,27.667,1.76507,0.117151,0.95,1,1.6125,30.5046
11,1.72359,0.117697,27.756,1.76507,0.117151,0.95,1,1.6125,30.5046
12,1.72619,0.117663,27.747,1.77054,0.11708,0.95,1,1.6125,37.7157
12,1.72839,0.117633,27.7395,1.77054,0.11708,0.95,1,1.6125,37.7157
12,1.70635,0.117929,27.8156,1.77054,0.11708,0.95,1,1.6125,37.7157
13,1.75788,0.117244,27.6395,1.79015,0.116827,0.95,1,1.6125,36.5803
13,1.79874,0.116718,27.5041,1.79015,0.116827,0.95,1,1.6125,36.5803
13,1.7651,0.11715,27.6153,1.79015,0.116827,0.95,1,1.6125,36.5803
14,1.61443,0.119212,28.1459,1.68038,0.118283,0.95,1,1.6125,24.9753
14,1.62406,0.119074,28.1103,1.68038,0.118283,0.95,1,1.6125,24.9753
14,1.66937,0.118436,27.9459,1.68038,0.118283,0.95,1,1.6125,24.9753
14,1.69831,0.118038,27.8436,1.68038,0.118283,0.95,1,1.6125,24.9753
15,1.69613,0.118068,27.8512,1.73897,0.117493,0.95,1,1.6125,40.4706
15,1.70658,0.117926,27.8148,1.73897,0.117493,0.95,1,1.6125,40.4706
15,1.64839,0.118729,28.0213,1.73897,0.117493,0.95,1,1.6125,40.4706
15,1.74455,0.117419,27.6844,1.73897,0.117493,0.95,1,1.6125,40.4706
16,1.75527,0.117278,27.6482,1.73282,0.117574,0.95,0.5,1.6125,22.5673
16,1.68389,0.118235,27.8943,1.73282,0.117574,0.95,0.5,1.6125,22.5673
17,1.71324,0.117836,27.7917,1.77713,0.116995,0.95,1,1.6125,40.5821
17,1.77491,0.117023,27.5826,1.77713,0.116995,0.95,1,1.6125,40.5821
17,1.75694,0.117257,27.6426,1.77713,0.116995,0.95,1,1.6125,40.5821
18,1.77244,0.117055,27.5908,1.77998,0.116958,0.95,1,1.6125,33.2446
18,1.72175,0.117722,27.7623,1.77998,0.116958,0.95,1,1.6125,33.2446
18,1.77336,0.117043,27.5877,1.77998,0.116958,0.95,1,1.6125,33.2446
18,1.77891,0.116972,27.5693,1.77998,0.116958,0.95,1,1.6125,33.2446
