zenith_deg,gamma0,sigma_X,w_eq,d_eve,mu_opt,beta_opt,rnorm_opt,feasible
0,1.8,0.116702,27.4999,2,0.752,1.042,0.0736719,1
0,1.8,0.116702,27.4999,5,0.788,0.86,0.0962728,1
0,1.8,0.116702,27.4999,8,0.875,0.44,0.157081,1
0,1.8,0.116702,27.4999,12,0.905,0.3,0.223104,1
0,1.8,0.116702,27.4999,18,0.905,0.3,0.308942,1
0,1.8,0.116702,27.4999,26,0.95,0.3,0.371268,1
0,1.8,0.116702,27.4999,35,0.95,0.3,0.384734,1
0,1.8,0.116702,27.4999,50,0.95,0.3,0.385532,1
1,1.79872,0.116718,27.5041,2,0.752,1.042,0.0737321,1
1,1.79872,0.116718,27.5041,5,0.788,0.86,0.0963492,1
1,1.79872,0.116718,27.5041,8,0.875,0.44,0.157204,1
1,1.79872,0.116718,27.5041,12,0.905,0.3,0.223213,1
1,1.79872,0.116718,27.5041,18,0.905,0.3,0.308971,1
1,1.79872,0.116718,27.5041,26,0.95,0.3,0.371249,1
1,1.79872,0.116718,27.5041,35,0.95,0.3,0.38471,1
1,1.79872,0.116718,27.5041,50,0.95,0.3,0.385509,1
2,1.79488,0.116767,27.5167,2,0.755,1.042,0.0735891,1
2,1.79488,0.116767,27.5167,5,0.788,0.86,0.096578,1
2,1.79488,0.116767,27.5167,8,0.878,0.44,0.156943,1
2,1.79488,0.116767,27.5167,12,0.908,0.3,0.22292,1
2,1.79488,0.116767,27.5167,18,0.908,0.3,0.308767,1
2,1.79488,0.116767,27.5167,26,0.95,0.3,0.371194,1
2,1.79488,0.116767,27.5167,35,0.95,0.3,0.384639,1
2,1.79488,0.116767,27.5167,50,0.95,0.3,0.385439,1
3,1.78849,0.116849,27.5377,2,0.758,1.042,0.073568,1
3,1.78849,0.116849,27.5377,5,0.8,0.818,0.10043,1
3,1.78849,0.116849,27.5377,8,0.881,0.44,0.156931,1
3,1.78849,0.116849,27.5377,12,0.911,0.3,0.222848,1
3,1.78849,0.116849,27.5377,18,0.911,0.3,0.308624,1
3,1.78849,0.116849,27.5377,26,0.95,0.3,0.371099,1
3,1.78849,0.116849,27.5377,35,0.95,0.3,0.384517,1
3,1.78849,0.116849,27.5377,50,0.95,0.3,0.38532,1
4,1.77958,0.116963,27.5671,2,0.743,1.14,0.0657009,1
4,1.77958,0.116963,27.5671,5,0.803,0.818,0.100573,1
4,1.77958,0.116963,27.5671,8,0.89,0.412,0.160125,1
4,1.77958,0.116963,27.5671,12,0.917,0.3,0.222382,1
4,1.77958,0.116963,27.5671,18,0.917,0.3,0.308249,1
4,1.77958,0.116963,27.5671,26,0.95,0.3,0.370963,1
4,1.77958,0.116963,27.5671,35,0.95,0.3,0.384344,1
4,1.77958,0.116963,27.5671,50,0.95,0.3,0.385149,1
5,1.76817,0.11711,27.605,2,0.746,1.14,0.0658833,1
5,1.76817,0.11711,27.605,5,0.809,0.818,0.100459,1
5,1.76817,0.11711,27.605,8,0.896,0.412,0.159994,1
5,1.76817,0.11711,27.605,12,0.9215,0.3,0.222452,1
5,1.76817,0.11711,27.605,18,0.9215,0.3,0.308084,1
5,1.76817,0.11711,27.605,26,0.95,0.3,0.370779,1
5,1.76817,0.11711,27.605,35,0.95,0.3,0.384113,1
5,1.76817,0.11711,27.605,50,0.95,0.3,0.384922,1
6,1.75432,0.117291,27.6514,2,0.773,1.042,0.0736058,1
6,1.75432,0.117291,27.6514,5,0.809,0.86,0.0962175,1
6,1.75432,0.117291,27.6514,8,0.896,0.44,0.157153,1
6,1.75432,0.117291,27.6514,12,0.929,0.3,0.22214,1
6,1.75432,0.117291,27.6514,18,0.929,0.3,0.307693,1
6,1.75432,0.117291,27.6514,26,0.95,0.3,0.370544,1
6,1.75432,0.117291,27.6514,35,0.95,0.3,0.383818,1
6,1.75432,0.117291,27.6514,50,0.95,0.3,0.384632,1
7,1.73806,0.117505,27.7065,2,0.779,1.042,0.0737645,1
7,1.73806,0.117505,27.7065,5,0.815,0.86,0.0964262,1
7,1.73806,0.117505,27.7065,8,0.905,0.44,0.156923,1
7,1.73806,0.117505,27.7065,12,0.938,0.3,0.221763,1
7,1.73806,0.117505,27.7065,18,0.938,0.3,0.307226,1
7,1.73806,0.117505,27.7065,26,0.95,0.3,0.370248,1
7,1.73806,0.117505,27.7065,35,0.95,0.3,0.383452,1
7,1.73806,0.117505,27.7065,50,0.95,0.3,0.384271,1
