t,sat_id,zenith_deg,gamma0,mu_s,beta_s,psift_s,qber_s,eve_s,rnorm_s,secure_s,mu_opt,beta_opt,psift_opt,qber_opt,eve_opt,rnorm_opt,secure_opt
140,0,59.0334,0.0665404,0.5,3,0.00243539,0.445093,0.491733,2.07472e-05,0,0.95,0.692,0.451207,0.457997,0.484298,0.00197852,0
145,0,57.6205,0.0822179,0.5,3,0.00238101,0.432155,0.49018,3.10581e-05,0,0.95,0.678,0.451221,0.44815,0.48135,0.00305361,0
150,0,56.1263,0.10138,0.5,3,0.00231821,0.416394,0.488398,4.60758e-05,0,0.95,0.65,0.45792,0.436559,0.477969,0.00469066,0
155,0,54.5443,0.124741,0.5,3,0.0022468,0.397302,0.48637,6.76592e-05,0,0.95,0.608,0.471132,0.423062,0.474123,0.00716828,0
160,0,52.8676,0.153138,0.5,3,0.00216711,0.374359,0.484083,9.81893e-05,0,0.95,0.58,0.473512,0.406028,0.46979,0.0108896,0
165,0,51.0886,0.187533,0.5,3,0.00208021,0.347097,0.481533,0.000140554,0,0.95,0.524,0.490379,0.387173,0.46496,0.0164294,0
170,0,49.1995,0.229013,0.5,3,0.00198806,0.315216,0.478722,0.000197991,0,0.95,0.482,0.495644,0.363681,0.459642,0.0245836,0
175,0,47.1923,0.278773,0.5,3,0.00189366,0.278762,0.475665,0.000273695,0,0.95,0.426,0.506252,0.336999,0.453868,0.0364161,0
180,0,45.0587,0.33808,0.5,3,0.001801,0.238354,0.472394,0.000370119,0,0.95,0.356,0.52199,0.307281,0.447696,0.0532859,0
185,0,42.7903,0.408205,0.5,3,0.00171479,0.195407,0.468951,0.000487979,0,0.95,0.3,0.525689,0.271741,0.441213,0.0767791,0
190,0,40.3794,0.490314,0.5,3,0.0016399,0.152204,0.465399,0.000625154,0,0.95,0.3,0.494402,0.225175,0.434539,0.107827,0
195,0,37.8185,0.585305,0.5,3,0.00158064,0.111646,0.461815,0.000775983,0,0.95,0.3,0.465027,0.175597,0.427818,0.146281,0
200,0,35.1016,0.693595,0.5,3,0.00153996,0.0765866,0.458285,0.000931581,0,0.95,0.3,0.439504,0.126903,0.421217,0.190363,0
205,0,32.2241,0.814837,0.5,3,0.00151891,0.0489746,0.454904,0.00108162,0,0.95,0.3,0.419308,0.0838327,0.414909,0.236265,0
210,0,29.1838,0.947613,0.5,3,0.00151654,0.0292683,0.451762,0.00121713,0,0.95,2.82,0.00319656,0.000982072,0.409062,0.00308397,1
215,0,25.9815,1.08912,0.5,3,0.00153029,0.0165101,0.448939,0.00133303,0,0.95,2.19,0.0176536,0.000981478,0.40382,0.0169813,1
220,0,22.6219,1.23496,0.5,3,0.00155652,0.008955,0.446494,0.00142879,0,0.95,1.644,0.058164,0.000993579,0.399291,0.0557904,1
225,0,19.1137,1.37905,0.5,3,0.00159101,0.00480138,0.444461,0.00150699,0,0.95,1.196,0.127999,0.000971489,0.395534,0.122515,1
230,0,15.471,1.51386,0.5,3,0.0016292,0.00263871,0.44285,0.00157079,0,0.95,0.804,0.223531,0.000997889,0.39256,0.213482,1
235,0,11.7124,1.63102,0.5,3,0.00166624,0.00155084,0.441646,0.00162199,0,0.95,0.51,0.315091,0.000979103,0.39034,0.30054,1
240,0,7.86188,1.72216,0.5,3,0.00169728,0.00101853,0.440821,0.00166041,0,0.95,0.3,0.388145,0.000953499,0.388819,0.369937,1
245,0,3.94736,1.78011,0.5,3,0.00171796,0.00077721,0.440342,0.00168456,1,0.95,0.3,0.388278,0.000670051,0.387938,0.370971,1
250,0,0,1.8,0.5,3,0.00172523,0.00070793,0.440186,0.00169283,1,0.95,0.3,0.388332,0.000592669,0.387649,0.371268,1
255,0,3.94736,1.78011,0.5,3,0.00171796,0.00077721,0.440342,0.00168456,1,0.95,0.3,0.388278,0.000670051,0.387938,0.370971,1
260,0,7.86188,1.72216,0.5,3,0.00169728,0.00101853,0.440821,0.00166041,0,0.95,0.3,0.388145,0.000953499,0.388819,0.369937,1
265,0,11.7124,1.63102,0.5,3,0.00166624,0.00155084,0.441646,0.00162199,0,0.95,0.51,0.315091,0.000979103,0.39034,0.30054,1
270,0,15.471,1.51386,0.5,3,0.0016292,0.00263871,0.44285,0.00157079,0,0.95,0.804,0.223531,0.000997889,0.39256,0.213482,1
275,0,19.1137,1.37905,0.5,3,0.00159101,0.00480138,0.444461,0.00150699,0,0.95,1.196,0.127999,0.000971489,0.395534,0.122515,1
280,0,22.6219,1.23496,0.5,3,0.00155652,0.008955,0.446494,0.00142879,0,0.95,1.644,0.058164,0.000993579,0.399291,0.0557904,1
285,0,25.9815,1.08912,0.5,3,0.00153029,0.0165101,0.448939,0.00133303,0,0.95,2.19,0.0176536,0.000981478,0.40382,0.0169813,1
290,0,29.1838,0.947613,0.5,3,0.00151654,0.0292683,0.451762,0.00121713,0,0.95,2.82,0.00319656,0.000982072,0.409062,0.00308397,1
295,0,32.2241,0.814837,0.5,3,0.00151891,0.0489746,0.454904,0.00108162,0,0.95,0.3,0.419308,0.0838327,0.414909,0.236265,0
300,0,35.1016,0.693595,0.5,3,0.00153996,0.0765866,0.458285,0.000931581,0,0.95,0.3,0.439504,0.126903,0.421217,0.190363,0
305,0,37.8185,0.585305,0.5,3,0.00158064,0.111646,0.461815,0.000775983,0,0.95,0.3,0.465027,0.175597,0.427818,0.146281,0
310,0,40.3794,0.490314,0.5,3,0.0016399,0.152204,0.465399,0.000625154,0,0.95,0.3,0.494402,0.225175,0.434539,0.107827,0
315,0,42.7903,0.408205,0.5,3,0.00171479,0.195407,0.468951,0.000487979,0,0.95,0.3,0.525689,0.271741,0.441213,0.0767791,0
320,0,45.0587,0.33808,0.5,3,0.001801,0.238354,0.472394,0.000370119,0,0.95,0.356,0.52199,0.307281,0.447696,0.0532859,0
325,0,47.1923,0.278773,0.5,3,0.00189366,0.278762,0.475665,0.000273695,0,0.95,0.426,0.506252,0.336999,0.453868,0.0364161,0
330,0,49.1995,0.229013,0.5,3,0.00198806,0.315216,0.478722,0.000197991,0,0.95,0.482,0.495644,0.363681,0.459642,0.0245836,0
335,0,51.0886,0.187533,0.5,3,0.00208021,0.347097,0.481533,0.000140554,0,0.95,0.524,0.490379,0.387173,0.46496,0.0164294,0
340,0,52.8676,0.153138,0.5,3,0.00216711,0.374359,0.484083,9.81893e-05,0,0.95,0.58,0.473512,0.406028,0.46979,0.0108896,0
345,0,54.5443,0.124741,0.5,3,0.0022468,0.397302,0.48637,6.76592e-05,0,0.95,0.608,0.471132,0.423062,0.474123,0.00716828,0
350,0,56.1263,0.10138,0.5,3,0.00231821,0.416394,0.488398,4.60758e-05,0,0.95,0.65,0.45792,0.436559,0.477969,0.00469066,0
355,0,57.6205,0.0822179,0.5,3,0.00238101,0.432155,0.49018,3.10581e-05,0,0.95,0.678,0.451221,0.44815,0.48135,0.00305361,0
360,0,59.0334,0.0665404,0.5,3,0.00243539,0.445093,0.491733,2.07472e-05,0,0.95,0.692,0.451207,0.457997,0.484298,0.00197852,0
395,1,58.9562,0.067338,0.5,3,0.00243256,0.444435,0.491652,2.12266e-05,0,0.95,0.692,0.450778,0.457478,0.484143,0.00202751,0
400,1,57.6044,0.0824093,0.5,3,0.00238036,0.431997,0.490162,3.11953e-05,0,0.95,0.678,0.45112,0.448025,0.481316,0.00306819,0
405,1,56.1852,0.100572,0.5,3,0.00232078,0.417056,0.488471,4.53919e-05,0,0.95,0.65,0.458345,0.437086,0.478107,0.00461451,0
410,1,54.695,0.122374,0.5,3,0.00225379,0.399228,0.486569,6.53193e-05,0,0.95,0.608,0.472375,0.424594,0.4745,0.00689304,0
415,1,53.1308,0.148426,0.5,3,0.00217982,0.378142,0.48445,9.2824e-05,0,0.95,0.58,0.475933,0.409078,0.470485,0.0102187,0
420,1,51.4895,0.17939,0.5,3,0.00209988,0.353491,0.482117,0.000130046,0,0.95,0.538,0.485873,0.391511,0.466066,0.0150169,0
425,1,49.7693,0.215959,0.5,3,0.00201566,0.325117,0.479578,0.000179267,0,0.95,0.496,0.493434,0.37094,0.461262,0.0218466,0
430,1,47.969,0.258823,0.5,3,0.00192954,0.293119,0.476853,0.000242614,0,0.95,0.44,0.507115,0.348252,0.456112,0.0314094,0
435,1,46.0892,0.308616,0.5,3,0.00184454,0.257987,0.473973,0.000321599,0,0.95,0.384,0.518211,0.322442,0.450675,0.0445409,0
440,1,44.1328,0.365839,0.5,3,0.00176411,0.220702,0.47098,0.000416543,0,0.95,0.321,0.531101,0.29432,0.445033,0.0621536,0
445,1,42.1054,0.430761,0.5,3,0.00169167,0.18277,0.467928,0.000525994,0,0.95,0.3,0.516525,0.258698,0.439289,0.0850014,0
450,1,40.017,0.503291,0.5,3,0.00163024,0.146078,0.464879,0.000646388,0,0.95,0.3,0.48997,0.218087,0.433562,0.112971,0
455,1,37.8827,0.582835,0.5,3,0.00158187,0.112578,0.461902,0.000772213,0,0.95,0.3,0.465704,0.176812,0.427981,0.145266,0
460,1,35.7248,0.668152,0.5,3,0.00154739,0.0838504,0.459067,0.000896798,0,0.95,0.3,0.444806,0.137504,0.422678,0.180153,0
465,1,33.5747,0.757231,0.5,3,0.00152622,0.0607491,0.456443,0.00101357,0,0.95,0.3,0.427923,0.102758,0.417778,0.215128,0
470,1,31.4748,0.847229,0.5,3,0.00151663,0.0432911,0.454088,0.00111734,0,0.95,0.3,0.415156,0.0743871,0.413389,0.247499,0
475,1,29.481,0.934508,0.5,3,0.00151602,0.0308258,0.45205,0.00120499,0,0.95,2.876,0.00269545,0.000997893,0.409596,0.00260084,1
480,1,27.6637,1.01481,0.5,3,0.00152135,0.0223634,0.45036,0.00127545,0,0.95,2.498,0.00800717,0.000994337,0.406458,0.00771292,1
485,1,26.1068,1.08361,0.5,3,0.00152951,0.0168897,0.44904,0.00132898,0,0.95,2.204,0.0170523,0.000997189,0.404008,0.016402,1
490,1,24.9017,1.13652,0.5,3,0.00153767,0.0135639,0.448097,0.00136642,0,0.95,2.008,0.0270545,0.000974327,0.40226,0.0260023,1
495,1,24.1354,1.1699,0.5,3,0.00154357,0.0117946,0.447532,0.00138855,0,0.95,1.882,0.0357286,0.00097694,0.401213,0.0343165,1
500,1,23.872,1.18131,0.5,3,0.0015457,0.0112415,0.447344,0.00139588,0,0.95,1.84,0.0390779,0.000977879,0.400865,0.0375253,1
