t,sat_id,elevation_deg,zenith_deg,gamma0,sigma_X,w_eq,p_sift,qber,eve_error,secure
0,-1,,,,,,,,,0
5,-1,,,,,,,,,0
10,-1,,,,,,,,,0
15,-1,,,,,,,,,0
20,-1,,,,,,,,,0
25,-1,,,,,,,,,0
30,-1,,,,,,,,,0
35,-1,,,,,,,,,0
40,-1,,,,,,,,,0
45,-1,,,,,,,,,0
50,-1,,,,,,,,,0
55,-1,,,,,,,,,0
60,-1,,,,,,,,,0
65,-1,,,,,,,,,0
70,-1,,,,,,,,,0
75,-1,,,,,,,,,0
80,-1,,,,,,,,,0
85,-1,,,,,,,,,0
90,-1,,,,,,,,,0
95,-1,,,,,,,,,0
100,-1,,,,,,,,,0
105,-1,,,,,,,,,0
110,-1,,,,,,,,,0
115,-1,,,,,,,,,0
120,-1,,,,,,,,,0
125,-1,,,,,,,,,0
130,-1,,,,,,,,,0
135,-1,,,,,,,,,0
140,0,30.9666,59.0334,0.0665404,0.214591,53.4458,0.00243539,0.445093,0.491733,0
145,0,32.3795,57.6205,0.0822179,0.206869,51.3513,0.00238101,0.432155,0.49018,0
150,0,33.8737,56.1263,0.10138,0.199427,49.3392,0.00231821,0.416394,0.488398,0
155,0,35.4557,54.5443,0.124741,0.192258,47.4077,0.0022468,0.397302,0.48637,0
160,0,37.1324,52.8676,0.153138,0.185361,45.5554,0.00216711,0.374359,0.484083,0
165,0,38.9114,51.0886,0.187533,0.178734,43.7814,0.00208021,0.347097,0.481533,0
170,0,40.8005,49.1995,0.229013,0.172378,42.0857,0.00198806,0.315216,0.478722,0
175,0,42.8077,47.1923,0.278773,0.166296,40.4685,0.00189366,0.278762,0.475665,0
180,0,44.9413,45.0587,0.33808,0.160494,38.9307,0.001801,0.238354,0.472394,0
185,0,47.2097,42.7903,0.408205,0.154979,37.4738,0.00171479,0.195407,0.468951,0
190,0,49.6206,40.3794,0.490314,0.149763,36.1,0.0016399,0.152204,0.465399,0
195,0,52.1815,37.8185,0.585305,0.144858,34.8119,0.00158064,0.111646,0.461815,0
200,0,54.8984,35.1016,0.693595,0.140278,33.613,0.00153996,0.0765866,0.458285,0
205,0,57.7759,32.2241,0.814837,0.136041,32.507,0.00151891,0.0489746,0.454904,0
210,0,60.8162,29.1838,0.947613,0.132166,31.4983,0.00151654,0.0292683,0.451762,0
215,0,64.0185,25.9815,1.08912,0.128675,30.5917,0.00153029,0.0165101,0.448939,0
